"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Seated Leg Curl (Machine)",,"",0,"normal",23,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Seated Leg Curl (Machine)",,"",1,"normal",29,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Seated Leg Curl (Machine)",,"",2,"normal",29,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Squat (Barbell)",,"",0,"normal",20,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Squat (Barbell)",,"",1,"normal",30,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Squat (Barbell)",,"",2,"normal",35,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Squat (Barbell)",,"",3,"normal",35,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Romanian Deadlift (Barbell)",,"",0,"normal",15,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Romanian Deadlift (Barbell)",,"",1,"normal",20,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Romanian Deadlift (Barbell)",,"",2,"normal",20,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Leg Extension (Machine)",,"",0,"normal",29,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Leg Extension (Machine)",,"",1,"normal",29,10,,,
"Lower gym","29 Mar 2025, 16:41","29 Mar 2025, 17:21","","Leg Extension (Machine)",,"",2,"normal",29,10,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Chest Press (Machine)",,"",0,"normal",45,10,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Chest Press (Machine)",,"",1,"normal",80,8,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Chest Press (Machine)",,"",2,"normal",85,8,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Chest Press (Machine)",,"",3,"normal",85,6,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Lat Pulldown (Cable)",,"",0,"normal",45,10,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Lat Pulldown (Cable)",,"",1,"normal",80,7,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Lat Pulldown (Cable)",,"",2,"normal",80,8,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Row (Machine)",,"",0,"normal",44,10,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Row (Machine)",,"",1,"normal",70,8,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Row (Machine)",,"",2,"normal",70,9,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Row (Machine)",,"",3,"normal",70,8,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Shoulder Press (Machine)",,"",0,"normal",23,10,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Shoulder Press (Machine)",,"",1,"normal",90,9,,,
"Upper gym","27 Mar 2025, 14:25","27 Mar 2025, 15:35","","Seated Shoulder Press (Machine)",,"",2,"normal",90,10,,,
