Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-01-26 18:52:38,"Upperbody",47m,"Chest Press (Machine)",1,29.0,10,0,0,"","",
2024-01-26 18:52:38,"Upperbody",47m,"Chest Press (Machine)",2,57.0,11,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Chest Press (Machine)",3,57.0,7,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Chest Press (Machine)",4,57.0,8,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Lat Pulldown (Cable)",1,45.0,10,0,0,"",,
2024-01-26 18:52:38,"Upperbody",47m,"Lat Pulldown (Cable)",2,73.0,10,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Lat Pulldown (Cable)",3,73.0,8,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Lat Pulldown (Cable)",4,66.0,9,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Shoulder Press (Machine)",1,29.0,10,0,0,"",,
2024-01-26 18:52:38,"Upperbody",47m,"Shoulder Press (Machine)",2,36.0,12,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Shoulder Press (Machine)",3,43.0,6,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Shoulder Press (Machine)",4,36.0,6,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Seated Row (Machine)",1,30.0,10,0,0,"",,
2024-01-26 18:52:38,"Upperbody",47m,"Seated Row (Machine)",2,57.0,12,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Seated Row (Machine)",3,63.0,10,0,0,,,
2024-01-26 18:52:38,"Upperbody",47m,"Seated Row (Machine)",4,63.0,7,0,0,,,
2024-01-28 18:59:54,"Lower Body",25m,"Squat (Barbell)",1,20.0,10,0,0,"","",
2024-01-28 18:59:54,"Lower Body",25m,"Squat (Barbell)",2,40.0,10,0,0,,,
2024-01-28 18:59:54,"Lower Body",25m,"Squat (Barbell)",3,50.0,10,0,0,,,
2024-01-28 18:59:54,"Lower Body",25m,"Seated Leg Press (Machine)",1,50.0,10,0,0,"",,
2024-01-28 18:59:54,"Lower Body",25m,"Seated Leg Press (Machine)",2,100.0,14,0,0,,,
2024-01-28 18:59:54,"Lower Body",25m,"Seated Leg Curl (Machine)",1,23.0,10,0,0,"",,
2024-01-28 18:59:54,"Lower Body",25m,"Seated Leg Curl (Machine)",2,36.0,10,0,0,,,
2024-01-28 18:59:54,"Lower Body",25m,"Seated Leg Curl (Machine)",3,43.0,6,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Chest Press (Machine)",1,29.0,10,0,0,"","",
2024-02-03 16:43:29,"Upperbody",47m,"Chest Press (Machine)",2,50.0,10,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Chest Press (Machine)",3,57.0,10,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Chest Press (Machine)",4,57.0,10,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Lat Pulldown (Cable)",1,45.0,10,0,0,"",,
2024-02-03 16:43:29,"Upperbody",47m,"Lat Pulldown (Cable)",2,73.0,7,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Lat Pulldown (Cable)",3,66.0,10,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Lat Pulldown (Cable)",4,66.0,9,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Shoulder Press (Machine)",1,29.0,10,0,0,"",,
2024-02-03 16:43:29,"Upperbody",47m,"Shoulder Press (Machine)",2,36.0,8,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Shoulder Press (Machine)",3,36.0,9,0,0,,,
2024-02-03 16:43:29,"Upperbody",47m,"Seated Row (Machine)",1,30.0,10,0,0,"",,
2024-02-03 16:43:29,"Upperbody",47m,"Seated Row (Machine)",2,57.0,10,0,0,,,
